RPeakCount,SpectralEnergy,TotalPSD,WaveletEnergy,ShannonEntropy,SignalSTD,RhythmClass
3,59710.68399,61759.30466,687.5631934,6.017658588,0.177804756,2
1,14530.60762,17591.07149,1165.289714,5.69733803,0.217323293,2
2,41160.51869,43289.85383,1156.794828,6.196908863,0.181273978,2
2,26589.16444,29162.29862,777.6591677,6.395300421,0.199270854,2
1,26778.1989,28526.16641,967.37172,6.005635066,0.164241113,2
1,35627.67645,36791.09222,634.56854,5.990299226,0.133994802,2
2,62350.63906,64394.10911,1236.403558,5.919080704,0.177581304,2
2,61537.94771,63797.38968,551.2770405,6.062314434,0.186729586,2
1,15261.15758,18415.09108,1456.725901,6.245552551,0.220616947,2
2,46403.86978,48093.09621,1183.477422,5.723853588,0.161458122,2
1,30449.89623,32266.93044,759.673531,5.969142401,0.167455102,2
1,12129.66317,14821.98974,1664.591958,5.013811989,0.203835027,2
1,33001.75252,35032.40065,773.0043605,5.9982122,0.177025923,2
1,17661.46511,19033.86001,1004.210413,5.463143431,0.145530708,2
2,55048.08385,58462.96396,1720.519176,7.099945046,0.229562936,2
1,34777.71956,36920.10151,1577.180171,6.655674314,0.18182826,2
2,60383.41414,64794.5429,2238.770883,6.773593723,0.260908285,2
1,45463.49707,49226.38164,1581.869047,6.950153235,0.240975793,2
2,47306.79072,50936.04544,1810.064128,6.939132152,0.236658066,2
1,18690.58637,20448.76597,1086.437402,6.253788004,0.164719458,2
1,26547.20662,30587.5835,2145.923299,6.784502606,0.249702853,2
2,25160.23835,29954.76299,2938.208264,6.85367841,0.272010607,2
2,22959.03206,27567.83385,2838.601238,6.695832724,0.266689868,2
1,22175.16269,25668.01671,2047.83748,6.427030245,0.23216819,2
2,49179.04058,53191.37279,1735.191181,6.821085219,0.248834907,2
2,52989.04582,57278.83428,2002.72037,6.71125755,0.257294858,2
2,54035.17604,56614.21951,1323.604417,6.590012516,0.199499575,2
1,48943.23029,53465.28298,2102.510734,6.854382211,0.264169257,2
1,48860.81461,52155.31437,1355.460578,6.907108919,0.225482042,2
3,54780.59332,58736.05178,1913.030365,6.825667735,0.247065693,2
1,47291.46367,50379.41106,1328.549649,6.84616942,0.218297875,2
1,49646.55463,53921.31666,1709.912782,6.893333218,0.2568435,2
2,44478.3604,47774.64983,2347.399686,6.934385143,0.225540834,2
1,43195.53976,47292.72483,1929.890741,7.039657388,0.25145245,2
1,46115.36677,50473.0635,2006.237131,7.024715306,0.25932379,2
1,40309.99149,43062.00069,1097.734342,6.475100175,0.206080901,2
1,42028.26668,44349.19664,1199.624822,6.895101785,0.189253326,2
1,45652.57713,50052.93243,1938.246379,7.006704334,0.260589448,2
2,53376.70385,56874.81323,1733.298946,6.809130066,0.232342937,2
2,60095.95737,64289.54705,1998.909772,6.593284198,0.254393735,2
2,58260.56957,61987.35911,1841.395,6.637183007,0.239817474,2
3,53152.31478,57182.95835,2805.131575,6.781066405,0.249401866,2
1,56804.30563,61970.12865,2397.837616,7.004328919,0.282346406,2
2,51681.7558,54665.41609,1252.75879,6.546564468,0.214579087,2
2,55951.30998,60068.02273,2157.247928,6.823868811,0.252050741,2
1,53911.64009,58192.07467,3310.452667,6.721549378,0.257015887,2
3,61978.96429,64671.20303,1845.535343,6.29892142,0.203830613,2
1,53632.54041,55741.38094,1304.708791,5.896713843,0.180399117,2
1,27874.17185,32200.93665,1235.989107,6.465645829,0.258401348,2
2,49339.36988,55061.17921,4209.830165,6.827263112,0.297152576,2
2,52399.53752,58558.46194,3939.467375,6.957514674,0.308295629,2
2,63919.39187,66044.78211,845.8574623,6.109670192,0.18110645,2
1,45840.58578,49175.9088,1043.551497,6.325680133,0.226872498,2
1,43464.39649,46961.23656,1208.725855,6.445118782,0.232300642,2
1,43249.42433,46759.14722,1202.716368,6.420865851,0.232728164,2
1,44354.64791,46866.39728,906.748421,6.088165478,0.196879573,2
1,41715.74066,44879.72703,1000.97101,6.335196344,0.220969037,2
2,44982.39506,47456.81134,967.9161114,6.033636903,0.195411016,2
1,42700.14815,45887.5965,975.131253,6.338316817,0.221786622,2
2,49154.27203,52961.67859,1869.078281,6.349586004,0.242397601,2
2,55610.77049,58871.94908,1774.020364,5.952822428,0.224337914,2
1,49866.16308,53590.13181,1964.799294,6.37251397,0.239726458,2
1,9342.25517,13040.78701,2124.675021,6.304156043,0.238906069,2
2,56739.5305,60211.68012,1005.602395,5.980161873,0.23147951,2
1,8509.612075,11053.76379,1617.356549,5.957630377,0.198145474,2
2,62142.83092,66282.08421,2123.345031,6.567008746,0.252739746,2
3,59603.47764,63501.76226,2347.629745,6.243645881,0.245275725,2
